pref	genome	S_alg	k	d	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
spneumoniae.S_greedy.k_2.d_na	spneumoniae	greedy	2	na	0.08	0.00	0.04	55%	9056	0	0	0.127115
spneumoniae.S_pseudosimplitigs.k_2.d_1	spneumoniae	pseudosimplitigs	2	1	0.10	0.00	0.05	59%	9136	0	0	0.209725
spneumoniae.S_pseudosimplitigs.k_2.d_2	spneumoniae	pseudosimplitigs	2	2	0.13	0.00	0.05	45%	9136	0	0	0.232556
spneumoniae.S_pseudosimplitigs.k_2.d_3	spneumoniae	pseudosimplitigs	2	3	0.13	0.00	0.05	44%	9088	0	0	0.183698
spneumoniae.S_pseudosimplitigs.k_2.d_4	spneumoniae	pseudosimplitigs	2	4	0.10	0.00	0.06	61%	9056	0	0	0.198873
spneumoniae.S_pseudosimplitigs.k_2.d_5	spneumoniae	pseudosimplitigs	2	5	0.12	0.00	0.05	48%	9104	0	0	0.18492
spneumoniae.S_streaming.k_2.d_na	spneumoniae	streaming	2	na	0.14	0.00	0.07	55%	6800	0	0	0.235736
spneumoniae.S_greedy.k_3.d_na	spneumoniae	greedy	3	na	0.10	0.00	0.05	54%	8976	0	0	0.188459
spneumoniae.S_pseudosimplitigs.k_3.d_1	spneumoniae	pseudosimplitigs	3	1	0.10	0.00	0.06	60%	9104	0	0	0.17636
spneumoniae.S_pseudosimplitigs.k_3.d_2	spneumoniae	pseudosimplitigs	3	2	0.11	0.00	0.07	64%	9136	0	0	0.194178
spneumoniae.S_pseudosimplitigs.k_3.d_3	spneumoniae	pseudosimplitigs	3	3	0.10	0.00	0.05	55%	9184	0	0	0.169789
spneumoniae.S_pseudosimplitigs.k_3.d_4	spneumoniae	pseudosimplitigs	3	4	0.10	0.00	0.05	57%	8976	0	0	0.154745
spneumoniae.S_pseudosimplitigs.k_3.d_5	spneumoniae	pseudosimplitigs	3	5	0.11	0.00	0.06	60%	9168	0	0	0.163394
spneumoniae.S_streaming.k_3.d_na	spneumoniae	streaming	3	na	0.16	0.00	0.11	68%	6880	0	0	0.222337
spneumoniae.S_greedy.k_4.d_na	spneumoniae	greedy	4	na	0.12	0.00	0.05	45%	9088	0	0	0.151792
spneumoniae.S_pseudosimplitigs.k_4.d_1	spneumoniae	pseudosimplitigs	4	1	0.12	0.00	0.06	52%	9104	0	0	0.189271
spneumoniae.S_pseudosimplitigs.k_4.d_2	spneumoniae	pseudosimplitigs	4	2	0.10	0.00	0.05	61%	9008	0	0	0.156105
spneumoniae.S_pseudosimplitigs.k_4.d_3	spneumoniae	pseudosimplitigs	4	3	0.13	0.00	0.06	45%	9184	0	0	0.215179
spneumoniae.S_pseudosimplitigs.k_4.d_4	spneumoniae	pseudosimplitigs	4	4	0.12	0.00	0.05	48%	9024	0	0	0.179577
spneumoniae.S_pseudosimplitigs.k_4.d_5	spneumoniae	pseudosimplitigs	4	5	0.15	0.00	0.06	43%	9232	0	0	0.18315
spneumoniae.S_streaming.k_4.d_na	spneumoniae	streaming	4	na	0.19	0.00	0.14	78%	6816	0	0	0.261302
spneumoniae.S_greedy.k_5.d_na	spneumoniae	greedy	5	na	0.09	0.00	0.05	62%	9200	0	0	0.161546
spneumoniae.S_pseudosimplitigs.k_5.d_1	spneumoniae	pseudosimplitigs	5	1	0.10	0.00	0.06	65%	9360	0	0	0.154531
spneumoniae.S_pseudosimplitigs.k_5.d_2	spneumoniae	pseudosimplitigs	5	2	0.15	0.00	0.06	46%	9296	0	0	0.193614
spneumoniae.S_pseudosimplitigs.k_5.d_3	spneumoniae	pseudosimplitigs	5	3	0.12	0.00	0.07	60%	9424	0	0	0.15759
spneumoniae.S_pseudosimplitigs.k_5.d_4	spneumoniae	pseudosimplitigs	5	4	0.11	0.00	0.07	66%	9168	0	0	0.208498
spneumoniae.S_pseudosimplitigs.k_5.d_5	spneumoniae	pseudosimplitigs	5	5	0.11	0.00	0.06	60%	9392	0	0	0.155048
spneumoniae.S_streaming.k_5.d_na	spneumoniae	streaming	5	na	0.25	0.00	0.18	72%	6832	0	0	0.319036
spneumoniae.S_greedy.k_6.d_na	spneumoniae	greedy	6	na	0.12	0.00	0.06	52%	9712	0	0	0.226489
spneumoniae.S_pseudosimplitigs.k_6.d_1	spneumoniae	pseudosimplitigs	6	1	0.12	0.00	0.07	62%	10368	0	0	0.206992
