pref	genome	S_alg	k	d	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
sars-cov-2-pangenome.S_greedy.k_2.d_na	sars-cov-2-pangenome	greedy	2	na	1.43	0.03	0.61	45%	3336	0	0	1.440225
sars-cov-2-pangenome.S_greedyAC.k_2.d_na	sars-cov-2-pangenome	greedyAC	2	na	1.95	0.06	1.09	59%	60176	0	0	1.985138
sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_1	sars-cov-2-pangenome	pseudosimplitigs	2	1	3.18	0.03	1.00	32%	60176	0	0	3.213835
sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_2	sars-cov-2-pangenome	pseudosimplitigs	2	2	2.65	0.06	1.02	41%	60176	0	0	2.666705
sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_3	sars-cov-2-pangenome	pseudosimplitigs	2	3	2.95	0.06	1.03	37%	60176	0	0	2.982068
sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_4	sars-cov-2-pangenome	pseudosimplitigs	2	4	2.79	0.03	0.99	36%	60176	0	0	2.837015
sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_5	sars-cov-2-pangenome	pseudosimplitigs	2	5	3.02	0.04	1.02	35%	60176	0	0	3.060599
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_1	sars-cov-2-pangenome	pseudosimplitigsAC	2	1	2.28	0.04	1.05	47%	60176	0	0	2.289078
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_2	sars-cov-2-pangenome	pseudosimplitigsAC	2	2	3.06	0.07	1.12	38%	60176	0	0	3.108606
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_3	sars-cov-2-pangenome	pseudosimplitigsAC	2	3	3.21	0.06	1.02	33%	60176	0	0	3.237946
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_4	sars-cov-2-pangenome	pseudosimplitigsAC	2	4	1.72	0.06	0.98	61%	60176	0	0	1.774445
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_5	sars-cov-2-pangenome	pseudosimplitigsAC	2	5	2.90	0.06	1.02	37%	60176	0	0	2.925981
sars-cov-2-pangenome.S_streaming.k_2.d_na	sars-cov-2-pangenome	streaming	2	na	3.75	0.03	1.45	39%	3324	0	0	3.806184
sars-cov-2-pangenome.S_greedy.k_3.d_na	sars-cov-2-pangenome	greedy	3	na	1.70	0.03	0.58	36%	3332	0	0	1.739088
sars-cov-2-pangenome.S_greedyAC.k_3.d_na	sars-cov-2-pangenome	greedyAC	3	na	1.88	0.08	1.01	58%	60176	0	0	1.888877
sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_1	sars-cov-2-pangenome	pseudosimplitigs	3	1	3.11	0.07	0.98	33%	60176	0	0	3.184888
