pref	genome	S_alg	k	d	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
spneumoniae.S_pseudosimplitigs.k_2.d_1	spneumoniae	pseudosimplitigs	2	1	0.15	0.00	0.11	74%	8460	0	0	0.157489
spneumoniae.S_pseudosimplitigsAC.k_2.d_1	spneumoniae	pseudosimplitigsAC	2	1	0.09	0.00	0.06	69%	8420	0	0	0.100891
spneumoniae.S_pseudosimplitigs.k_3.d_1	spneumoniae	pseudosimplitigs	3	1	0.15	0.00	0.11	79%	8408	0	0	0.159806
spneumoniae.S_pseudosimplitigs.k_3.d_2	spneumoniae	pseudosimplitigs	3	2	0.14	0.01	0.10	80%	8460	0	0	0.150018
spneumoniae.S_pseudosimplitigsAC.k_3.d_1	spneumoniae	pseudosimplitigsAC	3	1	0.13	0.00	0.10	79%	8460	0	0	0.140823
spneumoniae.S_pseudosimplitigsAC.k_3.d_2	spneumoniae	pseudosimplitigsAC	3	2	0.11	0.02	0.06	73%	8460	0	0	0.115045
spneumoniae.S_pseudosimplitigs.k_4.d_1	spneumoniae	pseudosimplitigs	4	1	0.17	0.00	0.13	76%	8460	0	0	0.182033
spneumoniae.S_pseudosimplitigs.k_4.d_2	spneumoniae	pseudosimplitigs	4	2	0.21	0.00	0.17	85%	8420	0	0	0.216623
spneumoniae.S_pseudosimplitigs.k_4.d_3	spneumoniae	pseudosimplitigs	4	3	0.20	0.00	0.16	80%	8444	0	0	0.210966
spneumoniae.S_pseudosimplitigsAC.k_4.d_1	spneumoniae	pseudosimplitigsAC	4	1	0.18	0.00	0.15	82%	8460	0	0	0.19348
spneumoniae.S_pseudosimplitigsAC.k_4.d_2	spneumoniae	pseudosimplitigsAC	4	2	0.13	0.00	0.08	69%	8460	0	0	0.139005
spneumoniae.S_pseudosimplitigsAC.k_4.d_3	spneumoniae	pseudosimplitigsAC	4	3	0.20	0.00	0.17	83%	8420	0	0	0.209836
spneumoniae.S_pseudosimplitigs.k_5.d_1	spneumoniae	pseudosimplitigs	5	1	0.16	0.00	0.11	74%	8432	0	0	0.168564
spneumoniae.S_pseudosimplitigs.k_5.d_2	spneumoniae	pseudosimplitigs	5	2	0.33	0.00	0.27	83%	8432	0	0	0.337828
