genome	S_alg	k	d	M_alg	kmer_count	l	o	z	r	S_xz_bytes	M_xz_bytes	enc1_xz_bytes	enc2_xz_bytes	pref
sars-cov-2-pangenome	greedy	2	na	default	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_greedy.k_2.d_na.M_default
sars-cov-2-pangenome	greedy	2	na	ones	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_greedy.k_2.d_na.M_ones
sars-cov-2-pangenome	greedy	2	na	runs	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_greedy.k_2.d_na.M_runs
sars-cov-2-pangenome	greedy	2	na	zeros	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_greedy.k_2.d_na.M_zeros
sars-cov-2-pangenome	greedyAC	2	na	default	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_greedyAC.k_2.d_na.M_default
sars-cov-2-pangenome	greedyAC	2	na	ones	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_greedyAC.k_2.d_na.M_ones
sars-cov-2-pangenome	greedyAC	2	na	runs	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_greedyAC.k_2.d_na.M_runs
sars-cov-2-pangenome	greedyAC	2	na	zeros	10	11	10	1	1	68	68	136	68	sars-cov-2-pangenome.S_greedyAC.k_2.d_na.M_zeros
sars-cov-2-pangenome	pseudosimplitigs	2	1	default	10	12	10	2	2	68	72	140	68	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_1.M_default
sars-cov-2-pangenome	pseudosimplitigs	2	1	ones	10	12	11	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_1.M_ones
sars-cov-2-pangenome	pseudosimplitigs	2	1	runs	10	12	11	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_1.M_runs
sars-cov-2-pangenome	pseudosimplitigs	2	1	zeros	10	12	10	2	2	68	72	140	68	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_1.M_zeros
sars-cov-2-pangenome	pseudosimplitigs	2	2	default	10	12	10	2	2	68	72	140	68	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_2.M_default
sars-cov-2-pangenome	pseudosimplitigs	2	2	ones	10	12	11	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_2.M_ones
sars-cov-2-pangenome	pseudosimplitigs	2	2	runs	10	12	11	1	1	68	68	136	68	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_2.M_runs
