genome	S_alg	k	d	M_alg	kmer_count	l	o	z	r	S_xz_bytes	M_xz_bytes	enc1_xz_bytes	enc2_xz_bytes	pref
spneumoniae	pseudosimplitigs	2	1	default	10	12	10	2	2	68	68	136	68	spneumoniae.S_pseudosimplitigs.k_2.d_1.M_default
spneumoniae	pseudosimplitigs	2	1	ones	10	12	11	1	1	68	68	136	68	spneumoniae.S_pseudosimplitigs.k_2.d_1.M_ones
spneumoniae	pseudosimplitigs	2	1	runs	10	12	11	1	1	68	68	136	68	spneumoniae.S_pseudosimplitigs.k_2.d_1.M_runs
spneumoniae	pseudosimplitigs	2	1	zeros	10	12	10	2	2	68	68	136	68	spneumoniae.S_pseudosimplitigs.k_2.d_1.M_zeros
spneumoniae	pseudosimplitigsAC	2	1	default	10	12	10	2	2	68	68	136	68	spneumoniae.S_pseudosimplitigsAC.k_2.d_1.M_default
spneumoniae	pseudosimplitigsAC	2	1	ones	10	12	11	1	1	68	68	136	68	spneumoniae.S_pseudosimplitigsAC.k_2.d_1.M_ones
spneumoniae	pseudosimplitigsAC	2	1	runs	10	12	11	1	1	68	68	136	68	spneumoniae.S_pseudosimplitigsAC.k_2.d_1.M_runs
spneumoniae	pseudosimplitigsAC	2	1	zeros	10	12	10	2	2	68	68	136	68	spneumoniae.S_pseudosimplitigsAC.k_2.d_1.M_zeros
spneumoniae	pseudosimplitigs	3	1	default	32	36	32	4	2	92	72	164	96	spneumoniae.S_pseudosimplitigs.k_3.d_1.M_default
spneumoniae	pseudosimplitigs	3	1	ones	32	36	34	2	1	92	72	164	92	spneumoniae.S_pseudosimplitigs.k_3.d_1.M_ones
spneumoniae	pseudosimplitigs	3	1	runs	32	36	34	2	1	92	72	164	92	spneumoniae.S_pseudosimplitigs.k_3.d_1.M_runs
spneumoniae	pseudosimplitigs	3	1	zeros	32	36	32	4	2	92	72	164	96	spneumoniae.S_pseudosimplitigs.k_3.d_1.M_zeros
spneumoniae	pseudosimplitigs	3	2	default	32	37	32	5	4	92	72	164	96	spneumoniae.S_pseudosimplitigs.k_3.d_2.M_default
spneumoniae	pseudosimplitigs	3	2	ones	32	37	35	2	1	92	72	164	92	spneumoniae.S_pseudosimplitigs.k_3.d_2.M_ones
spneumoniae	pseudosimplitigs	3	2	runs	32	37	35	2	1	92	72	164	92	spneumoniae.S_pseudosimplitigs.k_3.d_2.M_runs
spneumoniae	pseudosimplitigs	3	2	zeros	32	37	32	5	4	92	72	164	96	spneumoniae.S_pseudosimplitigs.k_3.d_2.M_zeros
spneumoniae	pseudosimplitigsAC	3	1	default	32	36	32	4	2	96	72	168	92	spneumoniae.S_pseudosimplitigsAC.k_3.d_1.M_default
spneumoniae	pseudosimplitigsAC	3	1	ones	32	36	34	2	1	96	72	168	96	spneumoniae.S_pseudosimplitigsAC.k_3.d_1.M_ones
spneumoniae	pseudosimplitigsAC	3	1	runs	32	36	34	2	1	96	72	168	96	spneumoniae.S_pseudosimplitigsAC.k_3.d_1.M_runs
spneumoniae	pseudosimplitigsAC	3	1	zeros	32	36	32	4	2	96	72	168	96	spneumoniae.S_pseudosimplitigsAC.k_3.d_1.M_zeros
spneumoniae	pseudosimplitigsAC	3	2	default	32	35	32	3	2	96	72	168	92	spneumoniae.S_pseudosimplitigsAC.k_3.d_2.M_default
spneumoniae	pseudosimplitigsAC	3	2	ones	32	35	33	2	1	96	72	168	92	spneumoniae.S_pseudosimplitigsAC.k_3.d_2.M_ones
spneumoniae	pseudosimplitigsAC	3	2	runs	32	35	33	2	1	96	72	168	92	spneumoniae.S_pseudosimplitigsAC.k_3.d_2.M_runs
spneumoniae	pseudosimplitigsAC	3	2	zeros	32	35	32	3	2	96	72	168	92	spneumoniae.S_pseudosimplitigsAC.k_3.d_2.M_zeros
spneumoniae	pseudosimplitigs	4	1	default	136	163	136	27	9	156	84	240	172	spneumoniae.S_pseudosimplitigs.k_4.d_1.M_default
spneumoniae	pseudosimplitigs	4	1	ones	136	163	160	3	1	156	76	232	156	spneumoniae.S_pseudosimplitigs.k_4.d_1.M_ones
spneumoniae	pseudosimplitigs	4	1	runs	136	163	160	3	1	156	76	232	156	spneumoniae.S_pseudosimplitigs.k_4.d_1.M_runs
spneumoniae	pseudosimplitigs	4	1	zeros	136	163	136	27	13	156	92	248	172	spneumoniae.S_pseudosimplitigs.k_4.d_1.M_zeros
spneumoniae	pseudosimplitigs	4	2	default	136	154	136	18	10	148	88	236	164	spneumoniae.S_pseudosimplitigs.k_4.d_2.M_default
spneumoniae	pseudosimplitigs	4	2	ones	136	154	151	3	1	148	76	224	152	spneumoniae.S_pseudosimplitigs.k_4.d_2.M_ones
spneumoniae	pseudosimplitigs	4	2	runs	136	154	151	3	1	148	76	224	152	spneumoniae.S_pseudosimplitigs.k_4.d_2.M_runs
spneumoniae	pseudosimplitigs	4	2	zeros	136	154	136	18	10	148	88	236	164	spneumoniae.S_pseudosimplitigs.k_4.d_2.M_zeros
spneumoniae	pseudosimplitigs	4	3	default	136	151	136	15	10	148	88	236	160	spneumoniae.S_pseudosimplitigs.k_4.d_3.M_default
spneumoniae	pseudosimplitigs	4	3	ones	136	151	148	3	1	148	76	224	152	spneumoniae.S_pseudosimplitigs.k_4.d_3.M_ones
spneumoniae	pseudosimplitigs	4	3	runs	136	151	148	3	1	148	76	224	152	spneumoniae.S_pseudosimplitigs.k_4.d_3.M_runs
spneumoniae	pseudosimplitigs	4	3	zeros	136	151	136	15	10	148	88	236	160	spneumoniae.S_pseudosimplitigs.k_4.d_3.M_zeros
spneumoniae	pseudosimplitigsAC	4	1	default	136	154	136	18	6	160	80	240	172	spneumoniae.S_pseudosimplitigsAC.k_4.d_1.M_default
spneumoniae	pseudosimplitigsAC	4	1	ones	136	154	151	3	1	160	76	236	160	spneumoniae.S_pseudosimplitigsAC.k_4.d_1.M_ones
spneumoniae	pseudosimplitigsAC	4	1	runs	136	154	151	3	1	160	76	236	160	spneumoniae.S_pseudosimplitigsAC.k_4.d_1.M_runs
spneumoniae	pseudosimplitigsAC	4	1	zeros	136	154	136	18	8	160	84	244	172	spneumoniae.S_pseudosimplitigsAC.k_4.d_1.M_zeros
spneumoniae	pseudosimplitigsAC	4	2	default	136	152	136	16	12	156	88	244	168	spneumoniae.S_pseudosimplitigsAC.k_4.d_2.M_default
spneumoniae	pseudosimplitigsAC	4	2	ones	136	152	149	3	1	156	76	232	160	spneumoniae.S_pseudosimplitigsAC.k_4.d_2.M_ones
spneumoniae	pseudosimplitigsAC	4	2	runs	136	152	149	3	1	156	76	232	160	spneumoniae.S_pseudosimplitigsAC.k_4.d_2.M_runs
spneumoniae	pseudosimplitigsAC	4	2	zeros	136	152	136	16	12	156	88	244	168	spneumoniae.S_pseudosimplitigsAC.k_4.d_2.M_zeros
spneumoniae	pseudosimplitigsAC	4	3	default	136	153	136	17	13	156	88	244	168	spneumoniae.S_pseudosimplitigsAC.k_4.d_3.M_default
spneumoniae	pseudosimplitigsAC	4	3	ones	136	153	150	3	1	156	76	232	160	spneumoniae.S_pseudosimplitigsAC.k_4.d_3.M_ones
spneumoniae	pseudosimplitigsAC	4	3	runs	136	153	150	3	1	156	76	232	160	spneumoniae.S_pseudosimplitigsAC.k_4.d_3.M_runs
spneumoniae	pseudosimplitigsAC	4	3	zeros	136	153	136	17	13	156	88	244	168	spneumoniae.S_pseudosimplitigsAC.k_4.d_3.M_zeros
spneumoniae	pseudosimplitigs	5	1	default	512	564	512	52	13	272	96	368	308	spneumoniae.S_pseudosimplitigs.k_5.d_1.M_default
spneumoniae	pseudosimplitigs	5	1	ones	512	564	560	4	1	272	76	348	272	spneumoniae.S_pseudosimplitigs.k_5.d_1.M_ones
spneumoniae	pseudosimplitigs	5	1	runs	512	564	560	4	1	272	76	348	272	spneumoniae.S_pseudosimplitigs.k_5.d_1.M_runs
spneumoniae	pseudosimplitigs	5	1	zeros	512	564	512	52	21	272	112	384	316	spneumoniae.S_pseudosimplitigs.k_5.d_1.M_zeros
spneumoniae	pseudosimplitigs	5	2	default	512	558	512	46	31	272	112	384	316	spneumoniae.S_pseudosimplitigs.k_5.d_2.M_default
spneumoniae	pseudosimplitigs	5	2	ones	512	558	554	4	1	272	76	348	276	spneumoniae.S_pseudosimplitigs.k_5.d_2.M_ones
spneumoniae	pseudosimplitigs	5	2	runs	512	558	554	4	1	272	76	348	276	spneumoniae.S_pseudosimplitigs.k_5.d_2.M_runs
spneumoniae	pseudosimplitigs	5	2	zeros	512	558	512	46	29	272	112	384	312	spneumoniae.S_pseudosimplitigs.k_5.d_2.M_zeros
spneumoniae	pseudosimplitigs	5	3	default	512	553	512	41	32	272	120	392	312	spneumoniae.S_pseudosimplitigs.k_5.d_3.M_default
spneumoniae	pseudosimplitigs	5	3	ones	512	553	549	4	1	272	76	348	276	spneumoniae.S_pseudosimplitigs.k_5.d_3.M_ones
spneumoniae	pseudosimplitigs	5	3	runs	512	553	549	4	1	272	76	348	276	spneumoniae.S_pseudosimplitigs.k_5.d_3.M_runs
spneumoniae	pseudosimplitigs	5	3	zeros	512	553	512	41	31	272	120	392	312	spneumoniae.S_pseudosimplitigs.k_5.d_3.M_zeros
spneumoniae	pseudosimplitigs	5	4	default	512	554	512	42	33	272	120	392	316	spneumoniae.S_pseudosimplitigs.k_5.d_4.M_default
spneumoniae	pseudosimplitigs	5	4	ones	512	554	550	4	1	272	76	348	276	spneumoniae.S_pseudosimplitigs.k_5.d_4.M_ones
spneumoniae	pseudosimplitigs	5	4	runs	512	554	550	4	1	272	76	348	276	spneumoniae.S_pseudosimplitigs.k_5.d_4.M_runs
spneumoniae	pseudosimplitigs	5	4	zeros	512	554	512	42	32	272	120	392	312	spneumoniae.S_pseudosimplitigs.k_5.d_4.M_zeros
