pref	genome	S_alg	k	d	M_alg	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
spneumoniae.S_greedy.k_2.d_na.M_default	spneumoniae	greedy	2	na	default	0.01	0.00	0.00	5%	1248	0	0	0.093878
spneumoniae.S_greedy.k_2.d_na.M_ones	spneumoniae	greedy	2	na	ones	0.68	0.04	0.06	16%	20104	0	0	0.759642
spneumoniae.S_greedy.k_2.d_na.M_runs	spneumoniae	greedy	2	na	runs	0.55	0.04	0.08	23%	23272	0	0	0.587793
spneumoniae.S_greedy.k_2.d_na.M_zeros	spneumoniae	greedy	2	na	zeros	0.42	0.03	0.06	24%	20056	0	0	0.462751
spneumoniae.S_pseudosimplitigs.k_2.d_1.M_default	spneumoniae	pseudosimplitigs	2	1	default	0.04	0.00	0.00	2%	1248	0	0	0.15399
spneumoniae.S_pseudosimplitigs.k_2.d_1.M_ones	spneumoniae	pseudosimplitigs	2	1	ones	0.68	0.05	0.08	19%	19704	0	0	0.716772
spneumoniae.S_pseudosimplitigs.k_2.d_1.M_runs	spneumoniae	pseudosimplitigs	2	1	runs	0.90	0.06	0.10	19%	23588	0	0	0.944515
spneumoniae.S_pseudosimplitigs.k_2.d_1.M_zeros	spneumoniae	pseudosimplitigs	2	1	zeros	0.44	0.04	0.07	27%	19760	0	0	0.487665
spneumoniae.S_pseudosimplitigs.k_2.d_2.M_default	spneumoniae	pseudosimplitigs	2	2	default	0.01	0.00	0.00	6%	1360	0	0	0.080985
spneumoniae.S_pseudosimplitigs.k_2.d_2.M_ones	spneumoniae	pseudosimplitigs	2	2	ones	0.64	0.04	0.07	18%	19848	0	0	0.677793
spneumoniae.S_pseudosimplitigs.k_2.d_2.M_runs	spneumoniae	pseudosimplitigs	2	2	runs	0.50	0.05	0.09	28%	23244	0	0	0.548546
spneumoniae.S_pseudosimplitigs.k_2.d_2.M_zeros	spneumoniae	pseudosimplitigs	2	2	zeros	0.41	0.04	0.06	26%	19824	0	0	0.457506
spneumoniae.S_pseudosimplitigs.k_2.d_3.M_default	spneumoniae	pseudosimplitigs	2	3	default	0.03	0.00	0.00	2%	1200	0	0	0.09485
spneumoniae.S_pseudosimplitigs.k_2.d_3.M_ones	spneumoniae	pseudosimplitigs	2	3	ones	0.52	0.04	0.06	20%	19872	0	0	0.589168
spneumoniae.S_pseudosimplitigs.k_2.d_3.M_runs	spneumoniae	pseudosimplitigs	2	3	runs	0.62	0.05	0.09	22%	23840	0	0	0.711026
spneumoniae.S_pseudosimplitigs.k_2.d_3.M_zeros	spneumoniae	pseudosimplitigs	2	3	zeros	0.53	0.04	0.06	20%	19956	0	0	0.608357
spneumoniae.S_pseudosimplitigs.k_2.d_4.M_default	spneumoniae	pseudosimplitigs	2	4	default	0.04	0.00	0.00	2%	1248	0	0	0.122033
spneumoniae.S_pseudosimplitigs.k_2.d_4.M_ones	spneumoniae	pseudosimplitigs	2	4	ones	0.52	0.03	0.06	19%	20152	0	0	0.560359
spneumoniae.S_pseudosimplitigs.k_2.d_4.M_runs	spneumoniae	pseudosimplitigs	2	4	runs	0.72	0.04	0.08	18%	23900	0	0	0.776987
spneumoniae.S_pseudosimplitigs.k_2.d_4.M_zeros	spneumoniae	pseudosimplitigs	2	4	zeros	0.52	0.04	0.06	21%	19808	0	0	0.547724
spneumoniae.S_pseudosimplitigs.k_2.d_5.M_default	spneumoniae	pseudosimplitigs	2	5	default	0.04	0.00	0.00	2%	1248	0	0	0.128222
spneumoniae.S_pseudosimplitigs.k_2.d_5.M_ones	spneumoniae	pseudosimplitigs	2	5	ones	0.51	0.04	0.07	22%	20084	0	0	0.56967
spneumoniae.S_pseudosimplitigs.k_2.d_5.M_runs	spneumoniae	pseudosimplitigs	2	5	runs	0.71	0.05	0.09	20%	23448	0	0	0.795931
spneumoniae.S_pseudosimplitigs.k_2.d_5.M_zeros	spneumoniae	pseudosimplitigs	2	5	zeros	0.46	0.04	0.06	23%	19536	0	0	0.513004
spneumoniae.S_streaming.k_2.d_na.M_default	spneumoniae	streaming	2	na	default	0.05	0.00	0.00	2%	1248	0	0	0.125246
spneumoniae.S_streaming.k_2.d_na.M_ones	spneumoniae	streaming	2	na	ones	0.46	0.04	0.06	23%	19920	0	0	0.534022
spneumoniae.S_streaming.k_2.d_na.M_runs	spneumoniae	streaming	2	na	runs	0.68	0.04	0.08	19%	23836	0	0	0.739232
spneumoniae.S_streaming.k_2.d_na.M_zeros	spneumoniae	streaming	2	na	zeros	0.36	0.04	0.07	33%	20112	0	0	0.402979
spneumoniae.S_greedy.k_3.d_na.M_default	spneumoniae	greedy	3	na	default	0.02	0.00	0.00	4%	1248	0	0	0.07649
spneumoniae.S_greedy.k_3.d_na.M_ones	spneumoniae	greedy	3	na	ones	0.41	0.03	0.06	25%	19828	0	0	0.505841
spneumoniae.S_greedy.k_3.d_na.M_runs	spneumoniae	greedy	3	na	runs	0.59	0.05	0.08	23%	23604	0	0	0.675679
spneumoniae.S_greedy.k_3.d_na.M_zeros	spneumoniae	greedy	3	na	zeros	0.46	0.04	0.06	23%	19692	0	0	0.52397
spneumoniae.S_pseudosimplitigs.k_3.d_1.M_default	spneumoniae	pseudosimplitigs	3	1	default	0.02	0.00	0.00	4%	1248	0	0	0.098309
spneumoniae.S_pseudosimplitigs.k_3.d_1.M_ones	spneumoniae	pseudosimplitigs	3	1	ones	0.60	0.04	0.06	18%	20016	0	0	0.64331
spneumoniae.S_pseudosimplitigs.k_3.d_1.M_runs	spneumoniae	pseudosimplitigs	3	1	runs	0.73	0.05	0.09	20%	23552	0	0	0.794019
spneumoniae.S_pseudosimplitigs.k_3.d_1.M_zeros	spneumoniae	pseudosimplitigs	3	1	zeros	0.61	0.04	0.06	18%	19700	0	0	0.68635
spneumoniae.S_pseudosimplitigs.k_3.d_2.M_default	spneumoniae	pseudosimplitigs	3	2	default	0.04	0.00	0.00	2%	1248	0	0	0.119198
spneumoniae.S_pseudosimplitigs.k_3.d_2.M_ones	spneumoniae	pseudosimplitigs	3	2	ones	0.49	0.05	0.08	26%	19668	0	0	0.57022
spneumoniae.S_pseudosimplitigs.k_3.d_2.M_runs	spneumoniae	pseudosimplitigs	3	2	runs	0.54	0.05	0.09	28%	23624	0	0	0.590313
spneumoniae.S_pseudosimplitigs.k_3.d_2.M_zeros	spneumoniae	pseudosimplitigs	3	2	zeros	0.43	0.04	0.07	27%	20100	0	0	0.503534
spneumoniae.S_pseudosimplitigs.k_3.d_3.M_default	spneumoniae	pseudosimplitigs	3	3	default	0.01	0.00	0.00	7%	1248	0	0	0.055381
spneumoniae.S_pseudosimplitigs.k_3.d_3.M_ones	spneumoniae	pseudosimplitigs	3	3	ones	0.41	0.03	0.06	24%	19828	0	0	0.47723
spneumoniae.S_pseudosimplitigs.k_3.d_3.M_runs	spneumoniae	pseudosimplitigs	3	3	runs	0.61	0.04	0.08	22%	23628	0	0	0.661564
spneumoniae.S_pseudosimplitigs.k_3.d_3.M_zeros	spneumoniae	pseudosimplitigs	3	3	zeros	0.40	0.03	0.06	25%	19724	0	0	0.476877
spneumoniae.S_pseudosimplitigs.k_3.d_4.M_default	spneumoniae	pseudosimplitigs	3	4	default	0.01	0.00	0.00	5%	1248	0	0	0.057125
spneumoniae.S_pseudosimplitigs.k_3.d_4.M_ones	spneumoniae	pseudosimplitigs	3	4	ones	0.43	0.03	0.06	24%	20000	0	0	0.474425
spneumoniae.S_pseudosimplitigs.k_3.d_4.M_runs	spneumoniae	pseudosimplitigs	3	4	runs	0.61	0.04	0.09	22%	23360	0	0	0.659367
spneumoniae.S_pseudosimplitigs.k_3.d_4.M_zeros	spneumoniae	pseudosimplitigs	3	4	zeros	0.52	0.04	0.07	22%	20136	0	0	0.551505
spneumoniae.S_pseudosimplitigs.k_3.d_5.M_default	spneumoniae	pseudosimplitigs	3	5	default	0.02	0.00	0.00	4%	1248	0	0	0.064022
spneumoniae.S_pseudosimplitigs.k_3.d_5.M_ones	spneumoniae	pseudosimplitigs	3	5	ones	0.45	0.04	0.07	27%	19880	0	0	0.47439
spneumoniae.S_pseudosimplitigs.k_3.d_5.M_runs	spneumoniae	pseudosimplitigs	3	5	runs	0.64	0.05	0.10	24%	23464	0	0	0.715707
spneumoniae.S_pseudosimplitigs.k_3.d_5.M_zeros	spneumoniae	pseudosimplitigs	3	5	zeros	0.38	0.04	0.07	30%	19828	0	0	0.435066
