pref	genome	S_alg	k	d	M_alg	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
sars-cov-2-pangenome.S_greedy.k_2.d_na.M_default	sars-cov-2-pangenome	greedy	2	na	default	0.00	0.00	0.00	88%	2048	0	0	0.01328
sars-cov-2-pangenome.S_greedy.k_2.d_na.M_ones	sars-cov-2-pangenome	greedy	2	na	ones	0.21	0.03	0.06	47%	13732	0	0	0.218926
sars-cov-2-pangenome.S_greedy.k_2.d_na.M_runs	sars-cov-2-pangenome	greedy	2	na	runs	0.22	0.04	0.09	64%	16492	0	0	0.257729
sars-cov-2-pangenome.S_greedy.k_2.d_na.M_zeros	sars-cov-2-pangenome	greedy	2	na	zeros	0.16	0.01	0.08	61%	13732	0	0	0.169332
sars-cov-2-pangenome.S_greedyAC.k_2.d_na.M_default	sars-cov-2-pangenome	greedyAC	2	na	default	0.00	0.00	0.00	0%	2048	0	0	0.042574
sars-cov-2-pangenome.S_greedyAC.k_2.d_na.M_ones	sars-cov-2-pangenome	greedyAC	2	na	ones	0.15	0.02	0.06	65%	13740	0	0	0.163922
sars-cov-2-pangenome.S_greedyAC.k_2.d_na.M_runs	sars-cov-2-pangenome	greedyAC	2	na	runs	0.34	0.03	0.12	44%	16496	0	0	0.365707
sars-cov-2-pangenome.S_greedyAC.k_2.d_na.M_zeros	sars-cov-2-pangenome	greedyAC	2	na	zeros	0.17	0.01	0.08	57%	13732	0	0	0.198209
sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_1.M_default	sars-cov-2-pangenome	pseudosimplitigs	2	1	default	0.04	0.00	0.00	4%	2048	0	0	0.097199
sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_1.M_ones	sars-cov-2-pangenome	pseudosimplitigs	2	1	ones	0.20	0.02	0.07	50%	13732	0	0	0.212989
sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_1.M_runs	sars-cov-2-pangenome	pseudosimplitigs	2	1	runs	0.30	0.01	0.13	48%	16500	0	0	0.315078
sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_1.M_zeros	sars-cov-2-pangenome	pseudosimplitigs	2	1	zeros	0.17	0.02	0.06	50%	13732	0	0	0.179687
sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_2.M_default	sars-cov-2-pangenome	pseudosimplitigs	2	2	default	0.00	0.00	0.00	0%	2048	0	0	0.087694
sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_2.M_ones	sars-cov-2-pangenome	pseudosimplitigs	2	2	ones	0.16	0.02	0.07	60%	13732	0	0	0.200543
sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_2.M_runs	sars-cov-2-pangenome	pseudosimplitigs	2	2	runs	0.18	0.01	0.09	61%	16500	0	0	0.197773
sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_2.M_zeros	sars-cov-2-pangenome	pseudosimplitigs	2	2	zeros	0.14	0.04	0.05	63%	13740	0	0	0.189318
sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_3.M_default	sars-cov-2-pangenome	pseudosimplitigs	2	3	default	0.01	0.00	0.00	12%	2048	0	0	0.058868
sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_3.M_ones	sars-cov-2-pangenome	pseudosimplitigs	2	3	ones	0.24	0.01	0.09	42%	13732	0	0	0.247723
sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_3.M_runs	sars-cov-2-pangenome	pseudosimplitigs	2	3	runs	0.16	0.03	0.08	71%	16500	0	0	0.184011
sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_3.M_zeros	sars-cov-2-pangenome	pseudosimplitigs	2	3	zeros	0.19	0.02	0.07	50%	13740	0	0	0.224922
sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_4.M_default	sars-cov-2-pangenome	pseudosimplitigs	2	4	default	0.02	0.00	0.00	4%	2048	0	0	0.068905
sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_4.M_ones	sars-cov-2-pangenome	pseudosimplitigs	2	4	ones	0.17	0.03	0.06	56%	13740	0	0	0.18909
sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_4.M_runs	sars-cov-2-pangenome	pseudosimplitigs	2	4	runs	0.23	0.00	0.13	59%	16500	0	0	0.248745
sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_4.M_zeros	sars-cov-2-pangenome	pseudosimplitigs	2	4	zeros	0.18	0.02	0.08	55%	13732	0	0	0.209475
sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_5.M_default	sars-cov-2-pangenome	pseudosimplitigs	2	5	default	0.02	0.00	0.00	5%	2048	0	0	0.085929
sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_5.M_ones	sars-cov-2-pangenome	pseudosimplitigs	2	5	ones	0.13	0.01	0.07	66%	13732	0	0	0.137108
sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_5.M_runs	sars-cov-2-pangenome	pseudosimplitigs	2	5	runs	0.35	0.02	0.15	49%	16500	0	0	0.363946
sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_5.M_zeros	sars-cov-2-pangenome	pseudosimplitigs	2	5	zeros	0.14	0.03	0.06	61%	13732	0	0	0.164384
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_1.M_default	sars-cov-2-pangenome	pseudosimplitigsAC	2	1	default	0.00	0.00	0.00	25%	2048	0	0	0.023093
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_1.M_ones	sars-cov-2-pangenome	pseudosimplitigsAC	2	1	ones	0.18	0.02	0.07	51%	13732	0	0	0.196536
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_1.M_runs	sars-cov-2-pangenome	pseudosimplitigsAC	2	1	runs	0.19	0.02	0.10	65%	16500	0	0	0.200836
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_1.M_zeros	sars-cov-2-pangenome	pseudosimplitigsAC	2	1	zeros	0.13	0.02	0.07	71%	13740	0	0	0.167705
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_2.M_default	sars-cov-2-pangenome	pseudosimplitigsAC	2	2	default	0.00	0.00	0.00	82%	2048	0	0	0.065153
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_2.M_ones	sars-cov-2-pangenome	pseudosimplitigsAC	2	2	ones	0.24	0.02	0.09	46%	13732	0	0	0.261982
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_2.M_runs	sars-cov-2-pangenome	pseudosimplitigsAC	2	2	runs	0.27	0.02	0.14	61%	16500	0	0	0.282993
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_2.M_zeros	sars-cov-2-pangenome	pseudosimplitigsAC	2	2	zeros	0.21	0.02	0.07	48%	13732	0	0	0.220801
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_3.M_default	sars-cov-2-pangenome	pseudosimplitigsAC	2	3	default	0.01	0.00	0.00	5%	2048	0	0	0.074736
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_3.M_ones	sars-cov-2-pangenome	pseudosimplitigsAC	2	3	ones	0.14	0.00	0.08	64%	13732	0	0	0.147617
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_3.M_runs	sars-cov-2-pangenome	pseudosimplitigsAC	2	3	runs	0.24	0.03	0.10	58%	16500	0	0	0.252925
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_3.M_zeros	sars-cov-2-pangenome	pseudosimplitigsAC	2	3	zeros	0.18	0.03	0.06	53%	13732	0	0	0.214445
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_4.M_default	sars-cov-2-pangenome	pseudosimplitigsAC	2	4	default	0.00	0.00	0.00	0%	2048	0	0	0.036027
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_4.M_ones	sars-cov-2-pangenome	pseudosimplitigsAC	2	4	ones	0.16	0.02	0.07	57%	13740	0	0	0.190644
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_4.M_runs	sars-cov-2-pangenome	pseudosimplitigsAC	2	4	runs	0.26	0.04	0.10	56%	16500	0	0	0.288625
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_4.M_zeros	sars-cov-2-pangenome	pseudosimplitigsAC	2	4	zeros	0.15	0.02	0.07	68%	13732	0	0	0.182362
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_5.M_default	sars-cov-2-pangenome	pseudosimplitigsAC	2	5	default	0.01	0.00	0.00	6%	2048	0	0	0.065406
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_5.M_ones	sars-cov-2-pangenome	pseudosimplitigsAC	2	5	ones	0.10	0.01	0.07	88%	13732	0	0	0.110748
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_5.M_runs	sars-cov-2-pangenome	pseudosimplitigsAC	2	5	runs	0.42	0.03	0.13	40%	16500	0	0	0.492647
sars-cov-2-pangenome.S_pseudosimplitigsAC.k_2.d_5.M_zeros	sars-cov-2-pangenome	pseudosimplitigsAC	2	5	zeros	0.16	0.01	0.09	63%	13732	0	0	0.169506
sars-cov-2-pangenome.S_streaming.k_2.d_na.M_default	sars-cov-2-pangenome	streaming	2	na	default	0.02	0.00	0.00	7%	2048	0	0	0.09198
sars-cov-2-pangenome.S_streaming.k_2.d_na.M_ones	sars-cov-2-pangenome	streaming	2	na	ones	0.17	0.02	0.07	54%	13732	0	0	0.186942
sars-cov-2-pangenome.S_streaming.k_2.d_na.M_runs	sars-cov-2-pangenome	streaming	2	na	runs	0.33	0.03	0.13	52%	16496	0	0	0.359551
sars-cov-2-pangenome.S_streaming.k_2.d_na.M_zeros	sars-cov-2-pangenome	streaming	2	na	zeros	0.23	0.02	0.08	44%	13740	0	0	0.261582
sars-cov-2-pangenome.S_greedy.k_3.d_na.M_default	sars-cov-2-pangenome	greedy	3	na	default	0.02	0.00	0.00	4%	2052	0	0	0.0752
sars-cov-2-pangenome.S_greedy.k_3.d_na.M_ones	sars-cov-2-pangenome	greedy	3	na	ones	0.22	0.04	0.05	41%	13740	0	0	0.238952
sars-cov-2-pangenome.S_greedy.k_3.d_na.M_runs	sars-cov-2-pangenome	greedy	3	na	runs	0.37	0.05	0.09	38%	16496	0	0	0.395976
sars-cov-2-pangenome.S_greedy.k_3.d_na.M_zeros	sars-cov-2-pangenome	greedy	3	na	zeros	0.20	0.00	0.08	44%	13732	0	0	0.231527
sars-cov-2-pangenome.S_greedyAC.k_3.d_na.M_default	sars-cov-2-pangenome	greedyAC	3	na	default	0.01	0.00	0.00	8%	2052	0	0	0.030963
sars-cov-2-pangenome.S_greedyAC.k_3.d_na.M_ones	sars-cov-2-pangenome	greedyAC	3	na	ones	0.21	0.01	0.08	45%	13740	0	0	0.232059
sars-cov-2-pangenome.S_greedyAC.k_3.d_na.M_runs	sars-cov-2-pangenome	greedyAC	3	na	runs	0.36	0.02	0.12	41%	16500	0	0	0.381498
sars-cov-2-pangenome.S_greedyAC.k_3.d_na.M_zeros	sars-cov-2-pangenome	greedyAC	3	na	zeros	0.19	0.01	0.07	47%	13732	0	0	0.220969
sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_1.M_default	sars-cov-2-pangenome	pseudosimplitigs	3	1	default	0.00	0.00	0.00	12%	2052	0	0	0.059492
sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_1.M_ones	sars-cov-2-pangenome	pseudosimplitigs	3	1	ones	0.20	0.02	0.06	43%	13740	0	0	0.234261
sars-cov-2-pangenome.S_pseudosimplitigs.k_3.d_1.M_runs	sars-cov-2-pangenome	pseudosimplitigs	3	1	runs	0.32	0.02	0.11	44%	16512	0	0	0.343347
