pref	genome	S_alg	k	d	M_alg	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
spneumoniae.S_pseudosimplitigs.k_2.d_1.M_default	spneumoniae	pseudosimplitigs	2	1	default	0.00	0.00	0.00	100%	1996	0	0	0.007689
spneumoniae.S_pseudosimplitigs.k_2.d_1.M_ones	spneumoniae	pseudosimplitigs	2	1	ones	0.06	0.01	0.04	96%	13660	0	0	0.069228
spneumoniae.S_pseudosimplitigs.k_2.d_1.M_runs	spneumoniae	pseudosimplitigs	2	1	runs	0.09	0.02	0.06	95%	16416	0	0	0.093688
spneumoniae.S_pseudosimplitigs.k_2.d_1.M_zeros	spneumoniae	pseudosimplitigs	2	1	zeros	0.06	0.00	0.05	95%	13660	0	0	0.067387
spneumoniae.S_pseudosimplitigsAC.k_2.d_1.M_default	spneumoniae	pseudosimplitigsAC	2	1	default	0.00	0.00	0.00	0%	2004	0	0	0.006444
spneumoniae.S_pseudosimplitigsAC.k_2.d_1.M_ones	spneumoniae	pseudosimplitigsAC	2	1	ones	0.05	0.00	0.05	94%	13636	0	0	0.063855
spneumoniae.S_pseudosimplitigsAC.k_2.d_1.M_runs	spneumoniae	pseudosimplitigsAC	2	1	runs	0.09	0.01	0.07	95%	16400	0	0	0.101253
spneumoniae.S_pseudosimplitigsAC.k_2.d_1.M_zeros	spneumoniae	pseudosimplitigsAC	2	1	zeros	0.06	0.01	0.04	97%	13636	0	0	0.073636
spneumoniae.S_pseudosimplitigs.k_3.d_1.M_default	spneumoniae	pseudosimplitigs	3	1	default	0.00	0.00	0.00	100%	1984	0	0	0.007428
spneumoniae.S_pseudosimplitigs.k_3.d_1.M_ones	spneumoniae	pseudosimplitigs	3	1	ones	0.09	0.02	0.07	97%	13660	0	0	0.101957
spneumoniae.S_pseudosimplitigs.k_3.d_1.M_runs	spneumoniae	pseudosimplitigs	3	1	runs	0.09	0.01	0.07	95%	16420	0	0	0.099264
spneumoniae.S_pseudosimplitigs.k_3.d_1.M_zeros	spneumoniae	pseudosimplitigs	3	1	zeros	0.06	0.01	0.05	97%	13660	0	0	0.073142
spneumoniae.S_pseudosimplitigs.k_3.d_2.M_default	spneumoniae	pseudosimplitigs	3	2	default	0.00	0.00	0.00	0%	1996	0	0	0.006474
spneumoniae.S_pseudosimplitigs.k_3.d_2.M_ones	spneumoniae	pseudosimplitigs	3	2	ones	0.05	0.01	0.04	94%	13660	0	0	0.062991
spneumoniae.S_pseudosimplitigs.k_3.d_2.M_runs	spneumoniae	pseudosimplitigs	3	2	runs	0.08	0.01	0.06	94%	16420	0	0	0.089177
spneumoniae.S_pseudosimplitigs.k_3.d_2.M_zeros	spneumoniae	pseudosimplitigs	3	2	zeros	0.06	0.01	0.04	96%	13660	0	0	0.068788
spneumoniae.S_pseudosimplitigsAC.k_3.d_1.M_default	spneumoniae	pseudosimplitigsAC	3	1	default	0.00	0.00	0.00	25%	2004	0	0	0.010276
spneumoniae.S_pseudosimplitigsAC.k_3.d_1.M_ones	spneumoniae	pseudosimplitigsAC	3	1	ones	0.05	0.01	0.03	98%	13636	0	0	0.059448
spneumoniae.S_pseudosimplitigsAC.k_3.d_1.M_runs	spneumoniae	pseudosimplitigsAC	3	1	runs	0.08	0.02	0.05	94%	16404	0	0	0.088176
spneumoniae.S_pseudosimplitigsAC.k_3.d_1.M_zeros	spneumoniae	pseudosimplitigsAC	3	1	zeros	0.06	0.01	0.04	97%	13636	0	0	0.073655
spneumoniae.S_pseudosimplitigsAC.k_3.d_2.M_default	spneumoniae	pseudosimplitigsAC	3	2	default	0.00	0.00	0.00	0%	2008	0	0	0.007352
spneumoniae.S_pseudosimplitigsAC.k_3.d_2.M_ones	spneumoniae	pseudosimplitigsAC	3	2	ones	0.06	0.01	0.05	96%	13644	0	0	0.071138
spneumoniae.S_pseudosimplitigsAC.k_3.d_2.M_runs	spneumoniae	pseudosimplitigsAC	3	2	runs	0.09	0.00	0.08	96%	16404	0	0	0.10478
