pref	genome	S_alg	k	d	M_alg	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
spneumo-pangenome.S_eulertigs.k_11.d_na.M_default	spneumo-pangenome	eulertigs	11	na	default	1.30	0.06	0.21	21%	30272	0	0	3.047518
spneumo-pangenome.S_eulertigs.k_11.d_na.M_ones	spneumo-pangenome	eulertigs	11	na	ones	8.13	0.16	6.33	79%	401112	0	0	8.154439
spneumo-pangenome.S_eulertigs.k_11.d_na.M_runs	spneumo-pangenome	eulertigs	11	na	runs	13.96	0.21	11.94	87%	295560	0	0	14.003565
spneumo-pangenome.S_eulertigs.k_11.d_na.M_zeros	spneumo-pangenome	eulertigs	11	na	zeros	7.69	0.13	6.08	80%	307184	0	0	7.7526
spneumo-pangenome.S_greedytigs.k_11.d_na.M_default	spneumo-pangenome	greedytigs	11	na	default	0.19	0.03	0.06	51%	26096	0	0	1.492824
spneumo-pangenome.S_greedytigs.k_11.d_na.M_ones	spneumo-pangenome	greedytigs	11	na	ones	6.87	0.15	5.59	83%	375368	0	0	6.908622
spneumo-pangenome.S_greedytigs.k_11.d_na.M_runs	spneumo-pangenome	greedytigs	11	na	runs	10.71	0.12	9.23	87%	248460	0	0	10.762752
spneumo-pangenome.S_greedytigs.k_11.d_na.M_zeros	spneumo-pangenome	greedytigs	11	na	zeros	6.57	0.11	5.50	85%	273320	0	0	6.622034
spneumo-pangenome.S_eulertigs.k_12.d_na.M_default	spneumo-pangenome	eulertigs	12	na	default	0.70	0.05	0.42	68%	52140	0	0	8.185567
spneumo-pangenome.S_eulertigs.k_12.d_na.M_ones	spneumo-pangenome	eulertigs	12	na	ones	23.23	0.33	16.09	70%	901460	0	0	23.288147
spneumo-pangenome.S_eulertigs.k_12.d_na.M_runs	spneumo-pangenome	eulertigs	12	na	runs	41.29	0.46	33.48	82%	689964	0	0	41.350099
spneumo-pangenome.S_eulertigs.k_12.d_na.M_zeros	spneumo-pangenome	eulertigs	12	na	zeros	23.09	0.32	16.40	72%	668812	0	0	23.127373
spneumo-pangenome.S_greedytigs.k_12.d_na.M_default	spneumo-pangenome	greedytigs	12	na	default	24.90	0.15	0.11	1%	29952	0	0	31.524433
spneumo-pangenome.S_greedytigs.k_12.d_na.M_ones	spneumo-pangenome	greedytigs	12	na	ones	17.50	0.27	13.69	79%	736352	0	0	17.527879
spneumo-pangenome.S_greedytigs.k_12.d_na.M_runs	spneumo-pangenome	greedytigs	12	na	runs	26.85	0.27	22.80	85%	494116	0	0	26.901547
spneumo-pangenome.S_greedytigs.k_12.d_na.M_zeros	spneumo-pangenome	greedytigs	12	na	zeros	16.86	0.22	13.47	81%	531432	0	0	16.899235
