pref	genome	S_alg	k	d	M_alg	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
spneumo-pangenome.S_eulertigs.k_11.d_na.M_default	spneumo-pangenome	eulertigs	11	na	default	0.67	0.03	0.21	37%	24076	0	0	9.413591
spneumo-pangenome.S_eulertigs.k_11.d_na.M_ones	spneumo-pangenome	eulertigs	11	na	ones	16.38	0.44	8.93	57%	381060	0	0	16.40266
spneumo-pangenome.S_eulertigs.k_11.d_na.M_runs	spneumo-pangenome	eulertigs	11	na	runs	33.01	0.45	18.00	55%	252436	0	7272	33.020769
spneumo-pangenome.S_eulertigs.k_11.d_na.M_zeros	spneumo-pangenome	eulertigs	11	na	zeros	17.71	0.36	8.37	49%	289752	0	0	17.722188
spneumo-pangenome.S_greedytigs.k_11.d_na.M_default	spneumo-pangenome	greedytigs	11	na	default	0.36	0.02	0.08	32%	20380	0	0	8.723553
spneumo-pangenome.S_greedytigs.k_11.d_na.M_ones	spneumo-pangenome	greedytigs	11	na	ones	14.80	0.37	7.86	55%	318376	0	0	14.827835
spneumo-pangenome.S_greedytigs.k_11.d_na.M_runs	spneumo-pangenome	greedytigs	11	na	runs	24.19	0.31	12.76	54%	233476	0	0	24.215772
spneumo-pangenome.S_greedytigs.k_11.d_na.M_zeros	spneumo-pangenome	greedytigs	11	na	zeros	15.89	0.44	7.69	51%	215660	0	0	15.903215
spneumo-pangenome.S_eulertigs.k_12.d_na.M_default	spneumo-pangenome	eulertigs	12	na	default	1.43	0.06	0.57	44%	48096	0	0	37.738341
spneumo-pangenome.S_eulertigs.k_12.d_na.M_ones	spneumo-pangenome	eulertigs	12	na	ones	50.12	1.20	22.28	46%	883148	0	0	50.152297
spneumo-pangenome.S_eulertigs.k_12.d_na.M_runs	spneumo-pangenome	eulertigs	12	na	runs	99.18	0.92	49.51	50%	621800	0	30712	99.221036
spneumo-pangenome.S_eulertigs.k_12.d_na.M_zeros	spneumo-pangenome	eulertigs	12	na	zeros	41.83	0.63	22.61	55%	657064	0	0	41.83741
spneumo-pangenome.S_greedytigs.k_12.d_na.M_default	spneumo-pangenome	greedytigs	12	na	default	0.40	0.01	0.13	36%	30668	0	0	21.495198
spneumo-pangenome.S_greedytigs.k_12.d_na.M_ones	spneumo-pangenome	greedytigs	12	na	ones	51.77	0.79	19.77	39%	707884	0	0	51.799336
spneumo-pangenome.S_greedytigs.k_12.d_na.M_runs	spneumo-pangenome	greedytigs	12	na	runs	55.93	0.55	31.26	56%	452840	0	16	55.973727
spneumo-pangenome.S_greedytigs.k_12.d_na.M_zeros	spneumo-pangenome	greedytigs	12	na	zeros	51.54	0.56	18.42	36%	491804	0	0	51.559787
spneumo-pangenome.S_eulertigs.k_13.d_na.M_default	spneumo-pangenome	eulertigs	13	na	default	2.75	0.08	0.83	33%	62552	0	0	73.093741
spneumo-pangenome.S_eulertigs.k_13.d_na.M_ones	spneumo-pangenome	eulertigs	13	na	ones	63.38	1.11	34.82	56%	1352320	0	0	63.401098
spneumo-pangenome.S_eulertigs.k_13.d_na.M_runs	spneumo-pangenome	eulertigs	13	na	runs	109.14	0.76	66.99	62%	762752	0	29480	109.166236
spneumo-pangenome.S_eulertigs.k_13.d_na.M_zeros	spneumo-pangenome	eulertigs	13	na	zeros	61.38	0.88	33.09	55%	1032708	0	0	61.410383
spneumo-pangenome.S_greedytigs.k_13.d_na.M_default	spneumo-pangenome	greedytigs	13	na	default	0.53	0.04	0.15	36%	38860	0	0	34.10169
spneumo-pangenome.S_greedytigs.k_13.d_na.M_ones	spneumo-pangenome	greedytigs	13	na	ones	82.58	1.25	32.34	40%	1114832	0	0	82.600391
spneumo-pangenome.S_greedytigs.k_13.d_na.M_runs	spneumo-pangenome	greedytigs	13	na	runs	123.10	0.76	51.76	42%	525884	0	0	123.13225
spneumo-pangenome.S_greedytigs.k_13.d_na.M_zeros	spneumo-pangenome	greedytigs	13	na	zeros	77.03	0.80	28.76	38%	794832	0	0	77.067107
spneumo-pangenome.S_eulertigs.k_14.d_na.M_default	spneumo-pangenome	eulertigs	14	na	default	2.24	0.09	0.74	37%	58804	0	0	76.062835
spneumo-pangenome.S_eulertigs.k_14.d_na.M_ones	spneumo-pangenome	eulertigs	14	na	ones	76.60	1.00	36.65	49%	1454496	0	0	76.623132
spneumo-pangenome.S_eulertigs.k_14.d_na.M_runs	spneumo-pangenome	eulertigs	14	na	runs	112.04	0.79	63.02	56%	903812	0	8200	112.065488
spneumo-pangenome.S_eulertigs.k_14.d_na.M_zeros	spneumo-pangenome	eulertigs	14	na	zeros	82.93	1.11	35.75	44%	1067400	0	0	82.952071
spneumo-pangenome.S_greedytigs.k_14.d_na.M_default	spneumo-pangenome	greedytigs	14	na	default	0.72	0.04	0.20	33%	41172	0	0	47.987894
spneumo-pangenome.S_greedytigs.k_14.d_na.M_ones	spneumo-pangenome	greedytigs	14	na	ones	95.87	1.11	37.57	40%	1266024	0	0	95.891646
spneumo-pangenome.S_greedytigs.k_14.d_na.M_runs	spneumo-pangenome	greedytigs	14	na	runs	142.19	0.83	58.92	42%	888244	0	0	142.218487
spneumo-pangenome.S_greedytigs.k_14.d_na.M_zeros	spneumo-pangenome	greedytigs	14	na	zeros	96.54	1.28	35.12	37%	887848	0	0	96.568708
spneumo-pangenome.S_eulertigs.k_15.d_na.M_default	spneumo-pangenome	eulertigs	15	na	default	1.62	0.07	0.59	40%	50656	0	0	64.412718
spneumo-pangenome.S_eulertigs.k_15.d_na.M_ones	spneumo-pangenome	eulertigs	15	na	ones	162.59	2.16	40.01	25%	1457244	0	0	162.61188
spneumo-pangenome.S_eulertigs.k_15.d_na.M_runs	spneumo-pangenome	eulertigs	15	na	runs	210.45	1.63	63.29	30%	892428	0	1016	210.471411
