pref	genome	S_alg	k	d	M_alg	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
spneumo-pangenome.S_eulertigs.k_11.d_na.M_default	spneumo-pangenome	eulertigs	11	na	default	0.28	0.02	0.25	97%	24080	6464	0	2.449098
spneumo-pangenome.S_eulertigs.k_11.d_na.M_ones	spneumo-pangenome	eulertigs	11	na	ones	11.91	0.34	9.92	86%	381244	0	0	11.920255
spneumo-pangenome.S_eulertigs.k_11.d_na.M_runs	spneumo-pangenome	eulertigs	11	na	runs	17.49	0.20	15.75	91%	252452	0	7272	17.504999
spneumo-pangenome.S_eulertigs.k_11.d_na.M_zeros	spneumo-pangenome	eulertigs	11	na	zeros	11.82	0.13	10.18	87%	289756	0	0	11.830749
spneumo-pangenome.S_greedytigs.k_11.d_na.M_default	spneumo-pangenome	greedytigs	11	na	default	0.09	0.00	0.08	94%	20380	3648	0	1.418743
spneumo-pangenome.S_greedytigs.k_11.d_na.M_ones	spneumo-pangenome	greedytigs	11	na	ones	8.66	0.21	7.21	85%	318380	0	0	8.667389
spneumo-pangenome.S_greedytigs.k_11.d_na.M_runs	spneumo-pangenome	greedytigs	11	na	runs	14.16	0.14	12.74	90%	233556	0	0	14.164043
spneumo-pangenome.S_greedytigs.k_11.d_na.M_zeros	spneumo-pangenome	greedytigs	11	na	zeros	10.87	0.15	9.47	88%	215640	0	0	10.881137
spneumo-pangenome.S_eulertigs.k_12.d_na.M_default	spneumo-pangenome	eulertigs	12	na	default	0.72	0.03	0.67	97%	48100	18648	0	8.625988
spneumo-pangenome.S_eulertigs.k_12.d_na.M_ones	spneumo-pangenome	eulertigs	12	na	ones	29.75	0.54	23.10	79%	883104	0	0	29.758815
spneumo-pangenome.S_eulertigs.k_12.d_na.M_runs	spneumo-pangenome	eulertigs	12	na	runs	51.12	0.45	42.90	84%	621840	0	30712	51.124831
spneumo-pangenome.S_eulertigs.k_12.d_na.M_zeros	spneumo-pangenome	eulertigs	12	na	zeros	32.08	0.40	24.62	78%	657064	0	0	32.089064
spneumo-pangenome.S_greedytigs.k_12.d_na.M_default	spneumo-pangenome	greedytigs	12	na	default	0.12	0.01	0.10	94%	30668	8640	0	4.939793
spneumo-pangenome.S_greedytigs.k_12.d_na.M_ones	spneumo-pangenome	greedytigs	12	na	ones	25.86	0.39	21.34	84%	707728	0	0	25.870603
spneumo-pangenome.S_greedytigs.k_12.d_na.M_runs	spneumo-pangenome	greedytigs	12	na	runs	36.78	0.24	32.33	88%	452640	0	16	36.788573
spneumo-pangenome.S_greedytigs.k_12.d_na.M_zeros	spneumo-pangenome	greedytigs	12	na	zeros	24.72	0.24	20.77	84%	491636	0	0	24.727833
spneumo-pangenome.S_eulertigs.k_13.d_na.M_default	spneumo-pangenome	eulertigs	13	na	default	1.09	0.01	1.04	97%	62556	27424	0	13.400862
spneumo-pangenome.S_eulertigs.k_13.d_na.M_ones	spneumo-pangenome	eulertigs	13	na	ones	40.15	0.65	30.43	77%	1352172	0	0	40.155822
spneumo-pangenome.S_eulertigs.k_13.d_na.M_runs	spneumo-pangenome	eulertigs	13	na	runs	77.42	0.62	67.24	87%	762852	0	29480	77.424387
spneumo-pangenome.S_eulertigs.k_13.d_na.M_zeros	spneumo-pangenome	eulertigs	13	na	zeros	44.95	0.50	34.56	78%	1032504	0	0	44.955676
spneumo-pangenome.S_greedytigs.k_13.d_na.M_default	spneumo-pangenome	greedytigs	13	na	default	0.21	0.03	0.16	92%	38876	13472	0	9.112205
spneumo-pangenome.S_greedytigs.k_13.d_na.M_ones	spneumo-pangenome	greedytigs	13	na	ones	45.05	0.67	36.87	83%	1114740	0	0	45.059625
spneumo-pangenome.S_greedytigs.k_13.d_na.M_runs	spneumo-pangenome	greedytigs	13	na	runs	54.47	0.29	47.57	87%	525884	0	0	54.483382
spneumo-pangenome.S_greedytigs.k_13.d_na.M_zeros	spneumo-pangenome	greedytigs	13	na	zeros	40.69	0.49	33.46	83%	794832	0	0	40.703007
spneumo-pangenome.S_eulertigs.k_14.d_na.M_default	spneumo-pangenome	eulertigs	14	na	default	0.73	0.04	0.66	96%	58808	27040	0	14.901665
spneumo-pangenome.S_eulertigs.k_14.d_na.M_ones	spneumo-pangenome	eulertigs	14	na	ones	57.17	0.69	44.63	79%	1454500	0	0	57.18388
spneumo-pangenome.S_eulertigs.k_14.d_na.M_runs	spneumo-pangenome	eulertigs	14	na	runs	84.74	0.65	71.93	85%	903812	0	8200	84.74563
spneumo-pangenome.S_eulertigs.k_14.d_na.M_zeros	spneumo-pangenome	eulertigs	14	na	zeros	50.22	0.59	37.25	75%	1067212	0	0	50.225354
spneumo-pangenome.S_greedytigs.k_14.d_na.M_default	spneumo-pangenome	greedytigs	14	na	default	0.24	0.02	0.20	93%	41184	16352	0	10.906507
spneumo-pangenome.S_greedytigs.k_14.d_na.M_ones	spneumo-pangenome	greedytigs	14	na	ones	47.04	0.63	37.76	81%	1266024	0	0	47.047288
spneumo-pangenome.S_greedytigs.k_14.d_na.M_runs	spneumo-pangenome	greedytigs	14	na	runs	72.33	0.41	62.15	86%	888424	0	0	72.342965
