genome	k	S_alg	algorithm	camel_DS	d	M_alg	kmer_count	l	o	z	r	tigs_ns	tigs_cl	tigs_xz_bytes	S_xz_bytes	M_xz_bytes	enc1_xz_bytes	enc2_xz_bytes	camel_mem_bytes	camel_real_s	camel_usr_s	camel_sys_s	pref0	pref
sars-cov-2-pangenome	2	greedy	glob-greedy	HT	na	default	10	11	10	1	1	na	na	na	68	68	136	68	3336000	1.43	0.61	0.03	sars-cov-2-pangenome.S_greedy.k_2.d_na	sars-cov-2-pangenome.S_greedy.k_2.d_na.M_default
sars-cov-2-pangenome	2	greedy	glob-greedy	HT	na	ones	10	11	10	1	1	na	na	na	68	68	136	68	3336000	1.43	0.61	0.03	sars-cov-2-pangenome.S_greedy.k_2.d_na	sars-cov-2-pangenome.S_greedy.k_2.d_na.M_ones
sars-cov-2-pangenome	2	greedy	glob-greedy	HT	na	runs	10	11	10	1	1	na	na	na	68	68	136	68	3336000	1.43	0.61	0.03	sars-cov-2-pangenome.S_greedy.k_2.d_na	sars-cov-2-pangenome.S_greedy.k_2.d_na.M_runs
sars-cov-2-pangenome	2	greedy	glob-greedy	HT	na	zeros	10	11	10	1	1	na	na	na	68	68	136	68	3336000	1.43	0.61	0.03	sars-cov-2-pangenome.S_greedy.k_2.d_na	sars-cov-2-pangenome.S_greedy.k_2.d_na.M_zeros
sars-cov-2-pangenome	2	greedyAC	glob-greedy	AC	na	default	10	11	10	1	1	na	na	na	68	68	136	68	60176000	1.95	1.09	0.06	sars-cov-2-pangenome.S_greedyAC.k_2.d_na	sars-cov-2-pangenome.S_greedyAC.k_2.d_na.M_default
sars-cov-2-pangenome	2	greedyAC	glob-greedy	AC	na	ones	10	11	10	1	1	na	na	na	68	68	136	68	60176000	1.95	1.09	0.06	sars-cov-2-pangenome.S_greedyAC.k_2.d_na	sars-cov-2-pangenome.S_greedyAC.k_2.d_na.M_ones
sars-cov-2-pangenome	2	greedyAC	glob-greedy	AC	na	runs	10	11	10	1	1	na	na	na	68	68	136	68	60176000	1.95	1.09	0.06	sars-cov-2-pangenome.S_greedyAC.k_2.d_na	sars-cov-2-pangenome.S_greedyAC.k_2.d_na.M_runs
sars-cov-2-pangenome	2	greedyAC	glob-greedy	AC	na	zeros	10	11	10	1	1	na	na	na	68	68	136	68	60176000	1.95	1.09	0.06	sars-cov-2-pangenome.S_greedyAC.k_2.d_na	sars-cov-2-pangenome.S_greedyAC.k_2.d_na.M_zeros
sars-cov-2-pangenome	2	pseudosimplitigs	loc-greedy	HT	1	default	10	12	10	2	2	na	na	na	68	72	140	68	60176000	3.18	1	0.03	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_1	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_1.M_default
sars-cov-2-pangenome	2	pseudosimplitigs	loc-greedy	HT	1	ones	10	12	11	1	1	na	na	na	68	68	136	68	60176000	3.18	1	0.03	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_1	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_1.M_ones
sars-cov-2-pangenome	2	pseudosimplitigs	loc-greedy	HT	1	runs	10	12	11	1	1	na	na	na	68	68	136	68	60176000	3.18	1	0.03	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_1	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_1.M_runs
sars-cov-2-pangenome	2	pseudosimplitigs	loc-greedy	HT	1	zeros	10	12	10	2	2	na	na	na	68	72	140	68	60176000	3.18	1	0.03	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_1	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_1.M_zeros
sars-cov-2-pangenome	2	pseudosimplitigs	loc-greedy	HT	2	default	10	12	10	2	2	na	na	na	68	72	140	68	60176000	2.65	1.02	0.06	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_2	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_2.M_default
sars-cov-2-pangenome	2	pseudosimplitigs	loc-greedy	HT	2	ones	10	12	11	1	1	na	na	na	68	68	136	68	60176000	2.65	1.02	0.06	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_2	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_2.M_ones
sars-cov-2-pangenome	2	pseudosimplitigs	loc-greedy	HT	2	runs	10	12	11	1	1	na	na	na	68	68	136	68	60176000	2.65	1.02	0.06	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_2	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_2.M_runs
sars-cov-2-pangenome	2	pseudosimplitigs	loc-greedy	HT	2	zeros	10	12	10	2	2	na	na	na	68	72	140	68	60176000	2.65	1.02	0.06	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_2	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_2.M_zeros
sars-cov-2-pangenome	2	pseudosimplitigs	loc-greedy	HT	3	default	10	12	10	2	2	na	na	na	68	72	140	68	60176000	2.95	1.03	0.06	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_3	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_3.M_default
sars-cov-2-pangenome	2	pseudosimplitigs	loc-greedy	HT	3	ones	10	12	11	1	1	na	na	na	68	68	136	68	60176000	2.95	1.03	0.06	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_3	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_3.M_ones
sars-cov-2-pangenome	2	pseudosimplitigs	loc-greedy	HT	3	runs	10	12	11	1	1	na	na	na	68	68	136	68	60176000	2.95	1.03	0.06	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_3	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_3.M_runs
sars-cov-2-pangenome	2	pseudosimplitigs	loc-greedy	HT	3	zeros	10	12	10	2	2	na	na	na	68	72	140	68	60176000	2.95	1.03	0.06	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_3	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_3.M_zeros
sars-cov-2-pangenome	2	pseudosimplitigs	loc-greedy	HT	4	default	10	12	10	2	2	na	na	na	68	72	140	68	60176000	2.79	0.99	0.03	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_4	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_4.M_default
sars-cov-2-pangenome	2	pseudosimplitigs	loc-greedy	HT	4	ones	10	12	11	1	1	na	na	na	68	68	136	68	60176000	2.79	0.99	0.03	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_4	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_4.M_ones
sars-cov-2-pangenome	2	pseudosimplitigs	loc-greedy	HT	4	runs	10	12	11	1	1	na	na	na	68	68	136	68	60176000	2.79	0.99	0.03	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_4	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_4.M_runs
sars-cov-2-pangenome	2	pseudosimplitigs	loc-greedy	HT	4	zeros	10	12	10	2	2	na	na	na	68	72	140	68	60176000	2.79	0.99	0.03	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_4	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_4.M_zeros
sars-cov-2-pangenome	2	pseudosimplitigs	loc-greedy	HT	5	default	10	12	10	2	2	na	na	na	68	72	140	68	60176000	3.02	1.02	0.04	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_5	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_5.M_default
sars-cov-2-pangenome	2	pseudosimplitigs	loc-greedy	HT	5	ones	10	12	11	1	1	na	na	na	68	68	136	68	60176000	3.02	1.02	0.04	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_5	sars-cov-2-pangenome.S_pseudosimplitigs.k_2.d_5.M_ones
