genome	S_alg	k	d	M_alg	kmer_count	l	o	z	r	S_xz_bytes	M_xz_bytes	enc1_xz_bytes	enc2_xz_bytes	pref
spneumoniae	greedy	2	na	default	10	11	10	1	1	68	68	136	68	spneumoniae.S_greedy.k_2.d_na.M_default
spneumoniae	greedy	2	na	ones	10	11	10	1	1	68	68	136	68	spneumoniae.S_greedy.k_2.d_na.M_ones
spneumoniae	greedy	2	na	runs	10	11	10	1	1	68	68	136	68	spneumoniae.S_greedy.k_2.d_na.M_runs
spneumoniae	greedy	2	na	zeros	10	11	10	1	1	68	68	136	68	spneumoniae.S_greedy.k_2.d_na.M_zeros
spneumoniae	pseudosimplitigs	2	1	default	10	12	10	2	2	68	68	136	68	spneumoniae.S_pseudosimplitigs.k_2.d_1.M_default
spneumoniae	pseudosimplitigs	2	1	ones	10	12	11	1	1	68	68	136	68	spneumoniae.S_pseudosimplitigs.k_2.d_1.M_ones
spneumoniae	pseudosimplitigs	2	1	runs	10	12	11	1	1	68	68	136	68	spneumoniae.S_pseudosimplitigs.k_2.d_1.M_runs
spneumoniae	pseudosimplitigs	2	1	zeros	10	12	10	2	2	68	68	136	68	spneumoniae.S_pseudosimplitigs.k_2.d_1.M_zeros
spneumoniae	pseudosimplitigs	2	2	default	10	12	10	2	2	68	68	136	68	spneumoniae.S_pseudosimplitigs.k_2.d_2.M_default
spneumoniae	pseudosimplitigs	2	2	ones	10	12	11	1	1	68	68	136	68	spneumoniae.S_pseudosimplitigs.k_2.d_2.M_ones
spneumoniae	pseudosimplitigs	2	2	runs	10	12	11	1	1	68	68	136	68	spneumoniae.S_pseudosimplitigs.k_2.d_2.M_runs
spneumoniae	pseudosimplitigs	2	2	zeros	10	12	10	2	2	68	68	136	68	spneumoniae.S_pseudosimplitigs.k_2.d_2.M_zeros
spneumoniae	pseudosimplitigs	2	3	default	10	12	10	2	2	68	68	136	68	spneumoniae.S_pseudosimplitigs.k_2.d_3.M_default
spneumoniae	pseudosimplitigs	2	3	ones	10	12	11	1	1	68	68	136	68	spneumoniae.S_pseudosimplitigs.k_2.d_3.M_ones
spneumoniae	pseudosimplitigs	2	3	runs	10	12	11	1	1	68	68	136	68	spneumoniae.S_pseudosimplitigs.k_2.d_3.M_runs
spneumoniae	pseudosimplitigs	2	3	zeros	10	12	10	2	2	68	68	136	68	spneumoniae.S_pseudosimplitigs.k_2.d_3.M_zeros
spneumoniae	pseudosimplitigs	2	4	default	10	12	10	2	2	68	68	136	68	spneumoniae.S_pseudosimplitigs.k_2.d_4.M_default
spneumoniae	pseudosimplitigs	2	4	ones	10	12	11	1	1	68	68	136	68	spneumoniae.S_pseudosimplitigs.k_2.d_4.M_ones
spneumoniae	pseudosimplitigs	2	4	runs	10	12	11	1	1	68	68	136	68	spneumoniae.S_pseudosimplitigs.k_2.d_4.M_runs
spneumoniae	pseudosimplitigs	2	4	zeros	10	12	10	2	2	68	68	136	68	spneumoniae.S_pseudosimplitigs.k_2.d_4.M_zeros
spneumoniae	pseudosimplitigs	2	5	default	10	12	10	2	2	68	68	136	68	spneumoniae.S_pseudosimplitigs.k_2.d_5.M_default
spneumoniae	pseudosimplitigs	2	5	ones	10	12	11	1	1	68	68	136	68	spneumoniae.S_pseudosimplitigs.k_2.d_5.M_ones
spneumoniae	pseudosimplitigs	2	5	runs	10	12	11	1	1	68	68	136	68	spneumoniae.S_pseudosimplitigs.k_2.d_5.M_runs
spneumoniae	pseudosimplitigs	2	5	zeros	10	12	10	2	2	68	68	136	68	spneumoniae.S_pseudosimplitigs.k_2.d_5.M_zeros
spneumoniae	streaming	2	na	default	10	15	10	5	5	72	72	144	72	spneumoniae.S_streaming.k_2.d_na.M_default
spneumoniae	streaming	2	na	ones	10	15	14	1	1	72	68	140	72	spneumoniae.S_streaming.k_2.d_na.M_ones
spneumoniae	streaming	2	na	runs	10	15	14	1	1	72	68	140	72	spneumoniae.S_streaming.k_2.d_na.M_runs
spneumoniae	streaming	2	na	zeros	10	15	10	5	5	72	72	144	72	spneumoniae.S_streaming.k_2.d_na.M_zeros
spneumoniae	greedy	3	na	default	32	36	32	4	3	92	72	164	92	spneumoniae.S_greedy.k_3.d_na.M_default
spneumoniae	greedy	3	na	ones	32	36	34	2	1	92	72	164	96	spneumoniae.S_greedy.k_3.d_na.M_ones
spneumoniae	greedy	3	na	runs	32	36	34	2	1	92	72	164	96	spneumoniae.S_greedy.k_3.d_na.M_runs
spneumoniae	greedy	3	na	zeros	32	36	32	4	3	92	72	164	92	spneumoniae.S_greedy.k_3.d_na.M_zeros
spneumoniae	pseudosimplitigs	3	1	default	32	34	32	2	1	92	72	164	92	spneumoniae.S_pseudosimplitigs.k_3.d_1.M_default
spneumoniae	pseudosimplitigs	3	1	ones	32	34	32	2	1	92	72	164	92	spneumoniae.S_pseudosimplitigs.k_3.d_1.M_ones
spneumoniae	pseudosimplitigs	3	1	runs	32	34	32	2	1	92	72	164	92	spneumoniae.S_pseudosimplitigs.k_3.d_1.M_runs
spneumoniae	pseudosimplitigs	3	1	zeros	32	34	32	2	1	92	72	164	92	spneumoniae.S_pseudosimplitigs.k_3.d_1.M_zeros
spneumoniae	pseudosimplitigs	3	2	default	32	34	32	2	1	92	72	164	92	spneumoniae.S_pseudosimplitigs.k_3.d_2.M_default
spneumoniae	pseudosimplitigs	3	2	ones	32	34	32	2	1	92	72	164	92	spneumoniae.S_pseudosimplitigs.k_3.d_2.M_ones
spneumoniae	pseudosimplitigs	3	2	runs	32	34	32	2	1	92	72	164	92	spneumoniae.S_pseudosimplitigs.k_3.d_2.M_runs
spneumoniae	pseudosimplitigs	3	2	zeros	32	34	32	2	1	92	72	164	92	spneumoniae.S_pseudosimplitigs.k_3.d_2.M_zeros
spneumoniae	pseudosimplitigs	3	3	default	32	34	32	2	1	92	72	164	92	spneumoniae.S_pseudosimplitigs.k_3.d_3.M_default
spneumoniae	pseudosimplitigs	3	3	ones	32	34	32	2	1	92	72	164	92	spneumoniae.S_pseudosimplitigs.k_3.d_3.M_ones
spneumoniae	pseudosimplitigs	3	3	runs	32	34	32	2	1	92	72	164	92	spneumoniae.S_pseudosimplitigs.k_3.d_3.M_runs
spneumoniae	pseudosimplitigs	3	3	zeros	32	34	32	2	1	92	72	164	92	spneumoniae.S_pseudosimplitigs.k_3.d_3.M_zeros
spneumoniae	pseudosimplitigs	3	4	default	32	34	32	2	1	92	72	164	92	spneumoniae.S_pseudosimplitigs.k_3.d_4.M_default
spneumoniae	pseudosimplitigs	3	4	ones	32	34	32	2	1	92	72	164	92	spneumoniae.S_pseudosimplitigs.k_3.d_4.M_ones
spneumoniae	pseudosimplitigs	3	4	runs	32	34	32	2	1	92	72	164	92	spneumoniae.S_pseudosimplitigs.k_3.d_4.M_runs
spneumoniae	pseudosimplitigs	3	4	zeros	32	34	32	2	1	92	72	164	92	spneumoniae.S_pseudosimplitigs.k_3.d_4.M_zeros
spneumoniae	pseudosimplitigs	3	5	default	32	34	32	2	1	92	72	164	92	spneumoniae.S_pseudosimplitigs.k_3.d_5.M_default
